@lat;@lon;name;addr:suburb
-23.7252662;-46.5568557;Rua Pedro Lopes de Sousa;
-23.7499808;-46.5477043;Rua Augusto Rosa da Silva;
-23.7478073;-46.5526593;Avenida Omar Dalbert;
-23.7423430;-46.5555243;Avenida Nicola Demarchi;
-23.7421207;-46.5556001;Avenida Nicola Demarchi;
-23.7435312;-46.5551336;Avenida Nicola Demarchi;
-23.7421332;-46.5557550;Avenida Nicola Demarchi;
-23.7487908;-46.5496059;Rua Sebastião Ema Cipriano Bruni;
-23.7465981;-46.5464972;Rua Salim Mahfoud;
-23.7475069;-46.5494902;Rua Jacinto Simionato Filho;
-23.7445700;-46.5407905;Viaduto Augusta Battistin Demarchi;
-23.7410613;-46.5522094;Rua das Cerejeiras;
-23.7426253;-46.5524705;Rua das Samambaias;
-23.7439877;-46.5536268;Rua dos Limoeiros;
-23.7412593;-46.5527788;Rua das Pitangueiras;
-23.7409477;-46.5502403;Rua Ilário Bernardino Lotto;
-23.7423602;-46.5518988;Rua das Papoulas;
-23.7391114;-46.5524293;Rua Sílvio Felice Vazzola;
-23.7409837;-46.5545435;Rua Mateus Demarchi;
-23.7399718;-46.5510383;Rua João Morassi;
-23.7438661;-46.5521758;Rua das Amoreiras;
-23.7415662;-46.5532258;Rua das Figueiras;
-23.7439341;-46.5528666;Rua dos Coqueiros;
-23.7429902;-46.5524417;Rua dos Cajueiros;
-23.7429334;-46.5549301;Rua dos Cajazeiros;
-23.7406359;-46.5507298;Rua Giuseppe Cuzziol;
-23.7382517;-46.5507027;Rua João Gerbelli;
-23.7422568;-46.5525349;Rua das Papoulas;
-23.7393613;-46.5500383;Rua Maximiliano Demarchi;
-23.7375092;-46.5531734;Rua Albino Demarchi;
-23.7400049;-46.5505297;Rua Giuseppe Tosi;
-23.7396555;-46.5566637;Rua Carlos Teodoro Bellinghausen;
-23.7420157;-46.5525028;Rua das Laranjeiras;
-23.7435831;-46.5516717;Rua das Macieiras;
-23.7432878;-46.5514390;Rua dos Salgueiros;
-23.7372877;-46.5527787;Rua Schultz Wenk;
-23.7386709;-46.5548287;Rua São Geraldo;
-23.7391524;-46.5513561;Rua Andrea Demarchi;
-23.7495324;-46.5513354;Rua Antônio Meneghetti;
-23.7465291;-46.5501640;Rua Emílio Stuchi;
-23.7465290;-46.5507592;Rua João Turbay;
-23.7490325;-46.5520435;Rua Luís Dalmolin;
-23.7490468;-46.5520765;Rua Ema Cipriani Bruni;
-23.7479703;-46.5513876;Rua Antônio Meneghetti;
-23.7464452;-46.5513602;Rua Antônio Meneghetti;
-23.7460804;-46.5505404;Rua Pastor Tito Rodrigues Linhares;
-23.7465311;-46.5525792;Rua José Gomes Moreno;
-23.7468529;-46.5519899;Rua Luís Dalmolin;
-23.7478738;-46.5525940;Rua Júlio Barazal Salgado;
-23.7490897;-46.5501154;Rua Ema Cipriani Bruni;
-23.7490617;-46.5514147;Rua Ema Cipriano Bruni;
-23.7546570;-46.5493720;Avenida Osmar Daibert;
-23.7526431;-46.5536652;Via 1;
-23.7479612;-46.5535352;Avenida Omar Dalbert;
-23.7488994;-46.5547169;Via 23;
-23.7478713;-46.5535578;Avenida Omar Dalbert;
-23.7519482;-46.5528444;Via 23;
-23.7492221;-46.5537140;Via 23;
-23.7540561;-46.5559934;Avenida Beethoven;
-23.7491001;-46.5556270;Rua Marli Bezerra da Silva;
-23.7488418;-46.5564770;Travessa Raquel de Queiroz;
-23.7492047;-46.5566022;Rua Ideal;
-23.7538008;-46.5561167;Rua Danúbio Azul;
-23.7537930;-46.5564854;Rua Chopin;
-23.7497540;-46.5563967;Rua João Inácio da Silva;
-23.7518095;-46.5560936;Rua José Carlos do Nascimento;
-23.7523689;-46.5567731;Rua Primavera;
-23.7538146;-46.5555593;Rua Valsa do Imperador;
-23.7521347;-46.5564516;Travessa Bela;
-23.7521209;-46.5563001;Rua Yonomami;
-23.7591382;-46.5554687;Avenida Nicola Demarchi;
-23.7534084;-46.5553528;Avenida Ivanovsky;
-23.7431631;-46.5636918;Rua Alípio do Nascimento Gonçalves;
-23.7434773;-46.5616084;Rua Nicolau Singer;
-23.7436652;-46.5622022;Rua Nicolau Singer;
-23.7441159;-46.5645342;Rua Valdomiro Luíz;
-23.7425565;-46.5651936;Viela 3;
-23.7232677;-46.5739845;Avenida Robert Kennedy;
-23.7241385;-46.5754867;Avenida Humberto de Alencar Castelo Branco;
-23.7394214;-46.5920962;Estrada dos Alvarengas;
-23.7257739;-46.5749366;Estrada dos Alvarengas;
-23.7335242;-46.5746655;Rua Oito de Dezembro;
-23.7355949;-46.5788895;Rua Alcântara Machado;
-23.7378021;-46.5760073;Rua Ministro Edgard Costa;
-23.7336315;-46.5769961;Pass Rosa Luxemburgo;
-23.7349698;-46.5739406;Rua Tamarati;
-23.7359466;-46.5766622;Rua Alexandra Kallontai;
-23.7342141;-46.5757307;Rua 23 de Junho;
-23.7333523;-46.5759346;Passagem Vinte e Três de Junho;
-23.7344751;-46.5742117;Rua Maviel Ramos;
-23.7343430;-46.5763396;Rua Bete Lobo;
-23.7332589;-46.5753575;Rua Olga Benario;
-23.7393405;-46.5747115;Rua 15 de Novembro;
-23.7350055;-46.5783729;Rua Simone de Beauvoir;
-23.7315936;-46.5713011;Rua Leonardo Martins Neto;
-23.7355040;-46.5796651;Rua Ministro Nélson Hungria;
-23.7347440;-46.5740813;Rua Primeiro de Maio;
-23.7352730;-46.5762795;Rua Primeiro de Maio;
-23.7356092;-46.5797800;Rua Ministro Nélson Hungria;
-23.7361925;-46.5794932;Rua Ministro Nélson Hungria;
-23.7346435;-46.5759684;Rua Vinte de Agosto;
-23.7357067;-46.5757192;Rua Maria Margarida Alves;
-23.7353537;-46.5746152;Rua Maria Luiza de Souza;
-23.7345854;-46.5776606;Rua Rosa Luxemburgo;
-23.7339060;-46.5760862;Rua Penha;
-23.7363886;-46.5760959;Rua Clara Zequer;
-23.7359995;-46.5749716;Rua Laura;
-23.7316677;-46.5763571;Rua Cândido José Casa;
-23.7356909;-46.5710419;Rua Jerônimo Moratti;
-23.7337490;-46.5698917;Rua Leonel Guarnieri;
-23.7369882;-46.5693918;Rua Palmira Marson Capitâneo;
-23.7362129;-46.5745467;Rua Jerônimo Moratti;
-23.7307323;-46.5740025;Avenida Presidencial;
-23.7366463;-46.5728704;Rua Carlos Wunderlick;
-23.7291945;-46.5700291;Rua Wadia Jafet Assad;
-23.7323286;-46.5694304;Rua Ágata;
-23.7288081;-46.5757064;Avenida Claudia;
-23.7324557;-46.5742080;Rua Xingu;
-23.7301767;-46.5717683;Rua Natalino Fabrini;
-23.7361488;-46.5700053;Rua Ana Maria Popovic;
-23.7363840;-46.5697310;Rua Paraíso Capitaneo;
-23.7305722;-46.5775962;Rua Josefina Marotti;
-23.7333033;-46.5695740;Rua Odimir Farina;
-23.7347287;-46.5703573;Rua Ana Molon Lazzuri;
-23.7362163;-46.5704734;Rua Rio Grande do Sul;
-23.7310780;-46.5706728;Rua Alcindo Guanabara;
-23.7371057;-46.5741783;Rua Laurindo Galvão Bueno;
-23.7320996;-46.5750749;Rua Vitória;
-23.7321893;-46.5760764;Rua Cândido José Casa;
-23.7368789;-46.5757253;Rua Jerônimo Moratti;
-23.7361967;-46.5742563;Rua Júlia Ivak;
-23.7292691;-46.5732965;Rua Castro Alves;
-23.7324428;-46.5753107;Rua Progresso;
-23.7313592;-46.5732365;Rua Machado de Assis;
-23.7329057;-46.5720211;Rua Orestes Suster;
-23.7359625;-46.5698259;Rua Jerônimo Moratti;
-23.7315747;-46.5742205;Rua Xingu;
-23.7364095;-46.5691574;Rua Beatriz Capitaneo;
-23.7318215;-46.5745954;Rua Cocais;
-23.7369727;-46.5728601;Rua José Copeinski;
-23.7302084;-46.5711948;Rua Gregório de Matos Guerra;
-23.7316693;-46.5775396;Rua Paulo Coppini;
-23.7292321;-46.5772764;Rua Paulo da Gama;
-23.7400186;-46.5767766;Rua Afonso de Albuquerque;
-23.7396131;-46.5814192;Rua Wilson de Souza Pinheiro;
-23.7376908;-46.5811529;Rua Ieda Luiza de Sena Souza;
-23.7404969;-46.5802029;Rua Álvares de Azevedo;
-23.7392364;-46.5785726;Rua Lago de Arari;
-23.7398069;-46.5770378;Rua Lago Jari;
-23.7374523;-46.5794345;Rua Lago do Piratuba;
-23.7396324;-46.5777756;Rua Ministro Ribeiro da Costa;
-23.7392996;-46.5751910;Rua Ministro Frederico Barreto;
-23.7373970;-46.5813419;Rua Açucena;
-23.7397604;-46.5791413;Rua Lago de Tefé;
-23.7396922;-46.5753279;Passagem Juscelino de Oliveira;
-23.7377680;-46.5814699;Rua Samuel Pereira dos Santos;
-23.7370313;-46.5813333;Rua Nerci Lopes de Freitas;
-23.7380856;-46.5813078;Rua União das Vilas;
-23.7412813;-46.5792413;Rua Alvarenga Peixoto;
-23.7393498;-46.5816171;Pass Benezinho;
-23.7395041;-46.5804380;Rua Dom Helder Câmara;
-23.7372541;-46.5799515;Rua Nazaré Costa Santos;
-23.7388252;-46.5777531;Rua Lagoa dos Patos;
-23.7401095;-46.5785380;Rua Lago Sapucaia;
-23.7359451;-46.5805455;Rua Bom Jesus;
-23.7407356;-46.5788272;Rua Lago da Mangueira;
-23.7384422;-46.5810630;Rua Carlos César de Carvalho;
-23.7395237;-46.5807029;Rua 27 de Agosto;
-23.7370451;-46.5900168;Rua Reinaldo Teixeira;
-23.7336985;-46.5912506;Rua Paraguaçu;
-23.7375398;-46.5904607;Rua Modesto Salera;
-23.7407259;-46.5814704;Rua Ímola;
-23.7397352;-46.5740390;Rua das Sequóias;
-23.7421464;-46.5823733;Rua Mariana Benvinda da Costa;
-23.7388319;-46.5716727;Rua das Aroeiras;
-23.7418819;-46.5833113;Rua Eugênio Kupper;
-23.7420355;-46.5828700;Rua Noemia de Almeida Kupper;
-23.7413762;-46.5727571;Rua dos Álamos;
-23.7411881;-46.5816902;Rua Nápoles;
-23.7422050;-46.5798057;Rua Genova;
-23.7396444;-46.5702170;Rua dos Abetos;
-23.7381691;-46.5715430;Rua das Sequóias;
-23.7393752;-46.5709751;Rua dos Abetos;
-23.7409886;-46.5815046;Rua Firenze;
-23.7390077;-46.5703040;Rua dos Pinheiros;
-23.7401425;-46.5723702;Rua dos Sobreiros;
-23.7380235;-46.5728894;Rua Maria Copeinski;
-23.7381150;-46.5704388;Rua dos Cavalhos;
-23.7399369;-46.5732051;Rua dos Sobreiros;
-23.7383717;-46.5698728;Rua dos Ébanos;
-23.7410995;-46.5745304;Rua das Perobas;
-23.7398890;-46.5712454;Rua dos Sobreiros;
-23.7254624;-46.5660367;Rua Rolando Gambini;
-23.7278938;-46.5689929;Rua Professor Geraldo Hypólito;
-23.7220798;-46.5665271;Rua Wálter Carlos Zanini;
-23.7265574;-46.5709053;Rua Luigi Giuseppe Ercolin;
-23.7218225;-46.5619894;Rua Antônio Marcon;
-23.7246276;-46.5669056;Rua José Capitanio;
-23.7284445;-46.5707623;Rua Constantino Vertematti;
-23.7249117;-46.5720207;Rua José Roger Filho;
-23.7250845;-46.5729855;Rua João Carlos Mallet;
-23.7268898;-46.5727116;Rua Doutor Ildefonso Simões Lopes;
-23.7245821;-46.5650819;Rua Antônio José Tomaz;
-23.7276474;-46.5696682;Rua Maria Vial;
-23.7268524;-46.5732426;Rua Victorino Silva;
-23.7247888;-46.5705631;Rua Luiz Otávio;
-23.7205335;-46.5612322;Rua José Daré;
-23.7269525;-46.5665897;Rua Lino Dalécio;
-23.7263393;-46.5742999;Rua Aída;
-23.7237392;-46.5660839;Rua dos Miosótis;
-23.7223841;-46.5640916;Rua das Orquídeas;
-23.7226202;-46.5647207;Rua Cristóvão Monteiro;
-23.7230043;-46.5623090;Rua das Azaleias;
-23.7217935;-46.5642118;Travessa João Marçon;
-23.7229154;-46.5674344;Rua Amaro Genari;
-23.7274860;-46.5678938;Rua Isabel Cestari;
-23.7217754;-46.5584304;Rua José de Alencar;
-23.7282228;-46.5712523;Rua Sérgio Gerbelli;
-23.7272143;-46.5739213;Rua Cristóvão de Barros;
-23.7218995;-46.5585422;Rua Siqueira Campos;
-23.7255706;-46.5664470;Rua Antônio de Proença;
-23.7236852;-46.5599264;Rua das Violetas;
-23.7217837;-46.5632069;Rua Paulo Barreto;
-23.7274461;-46.5687203;Rua Luís Casa;
-23.7269122;-46.5678709;Rua Lino Dalécio;
-23.7240473;-46.5705973;Rua Urbano de Oliveira Duarte;
-23.7276582;-46.5711984;Rua Aldo Armani;
-23.7269388;-46.5721934;Rua Orestes Suster;
-23.7218175;-46.5607643;Rua Vitor Hugo;
-23.7231438;-46.5663636;Rua Josina Maria da Silva;
-23.7229063;-46.5666253;Rua Francisco Carvalho Braga;
-23.7233277;-46.5641242;Rua dos Jasmins;
-23.7206581;-46.5627364;Rua Benedetto Marson;
-23.7242603;-46.5590910;Rua das Begônias;
-23.7267959;-46.5691554;Rua Baltazar Borges;
-23.7239605;-46.5585370;Rua das Dálias;
-23.7262824;-46.5677129;Rua Benedito Massaroppi;
-23.7230848;-46.5634870;Rua dos Crisântemos;
-23.7265605;-46.5709166;Rua Lázaro Rossi Contorno;
-23.7244538;-46.5610150;Rua Augusta Luiza Bisognini Bechelli;
-23.7249792;-46.5697794;Rua Maria Azevedo Florence;
-23.7200546;-46.5612912;Rua Assunção;
-23.7377627;-46.5895058;Rua Humberto Dotto;
-23.7387763;-46.5811285;Rua Maria Margarida Alves;
-23.7417810;-46.5818445;Rua Turin;
